Participant ID,Condition,Round Number,Click Number,Click Time (ms),Is First Click,Is Last Click,Is Middle Click,Total Clicks in Round
67e4814abd517bc7e964fffe,color,6,0,341,1,0,0,11
67e4814abd517bc7e964fffe,color,6,1,269,0,0,1,11
67e4814abd517bc7e964fffe,color,6,2,232,0,0,1,11
67e4814abd517bc7e964fffe,color,6,3,183,0,0,1,11
67e4814abd517bc7e964fffe,color,6,4,251,0,0,1,11
67e4814abd517bc7e964fffe,color,6,5,113,0,0,1,11
67e4814abd517bc7e964fffe,color,6,6,301,0,0,1,11
67e4814abd517bc7e964fffe,color,6,7,433,0,0,1,11
67e4814abd517bc7e964fffe,color,6,8,684,0,0,1,11
67e4814abd517bc7e964fffe,color,6,9,685,0,0,1,11
67e4814abd517bc7e964fffe,color,6,10,1986,0,1,0,11
67e499d1bd517bc7e9650184,monochrome,1,0,201,1,0,0,11
67e499d1bd517bc7e9650184,monochrome,1,1,217,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,2,132,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,3,134,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,4,434,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,5,284,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,6,316,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,7,466,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,8,112,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,9,120,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,1,10,500,0,1,0,11
67e499d1bd517bc7e9650184,monochrome,2,0,223,1,0,0,11
67e499d1bd517bc7e9650184,monochrome,2,1,236,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,2,251,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,3,115,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,4,199,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,5,252,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,6,183,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,7,284,0,0,1,11
67e499d1bd517bc7e9650184,monochrome,2,8,482,0,0,1,11
